2025-10-14 14:58:50,733 EXP - __main__.Logger.exp:
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])

2025-10-14 15:06:04,009 EXP - __main__.Logger.exp:
a takes action: move_right_with_item(['a', 'i'])
b takes action: drop_item(['b', 'j'])
a takes action: drop_item(['a', 'i'])
b takes action: pick_up(['b', 'i'])
a takes action: pick_up(['a', 'j'])
b takes action: stay(['b'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
b takes action: move_right_with_item(['b', 'i'])
a takes action: move_left_with_item(['a', 'j'])
b takes action: move_left_with_item(['b', 'i'])
a takes action: move_right_with_item(['a', 'j'])
